,ticker,name,sector,date,signal,score,confidence,target_return,pattern_type,experts,reasons
1,353200,대덕전자,기타,2026-05-15,BUY,0.6974999999999999,0.7749999999999999,0.08499999999999999,강한 상승 모멘텀 성장주,"['growth', 'theme']","['대덕전자는 강한 상승 추세와 긍정적인 기술적 지표를 보이며, 유사 과거 패턴 분석 결과 높은 추가 상승 여력이 기대됩니다. 특히, 반도체 기판 산업의 성장 모멘텀을 고려할 때, 현재의 고PER은 성장성에 대한 기대감을 반영하는 것으로 판단됩니다.', '대덕전자는 강한 상승 추세와 긍정적인 기술적 지표를 보이며, 유사 과거 패턴 분석 결과 단기 추가 상승 여력이 충분하다고 판단되나, 최근 급등에 따른 단기 과열 가능성도 존재하여 주의가 필요합니다. 현재까지 특별한 공시/뉴스가 없어 테마의 직접적인 정책/이슈 수혜 강도는 낮지만, 반도체 업황 회복 기대감에 따른 간접 수혜로 볼 수 있습니다. RSI가 70에 근접하고 있으나 아직 과열권은 아니며, 거래량도 정상 수준으로 판단됩니다. 테마 사이클은 중기 초입으로 보이며, 추가 상승 여력이 있다고 판단됩니다. 손절선은 MA20 이탈 시 고려하는 것이 합리적입니다.']"
2,042700,한미반도체,기타,2026-05-15,BUY,0.616,0.7,0.07,강한 상승 추세 속 단기 조정 후 재상승 기대,"['growth', 'theme']","['한미반도체는 강한 상승 추세와 MACD 골든크로스를 유지하며 주가 모멘텀이 견조하고, AI 반도체 섹터의 성장성이 지속될 것으로 예상되어 추가 상승 여력이 충분합니다. 유사 과거 패턴에서도 긍정적인 수익률을 보였습니다.', '한미반도체는 강한 상승 추세와 MACD 골든크로스로 긍정적 흐름을 보이며, 유사 패턴 분석 결과 단기 상승 가능성이 높으나, 볼린저 하단대 위치와 RSI 중립으로 단기 과열은 아니며, HBM 관련 직접 수혜주로서 테마 사이클 중기 단계로 판단됩니다. 다만, 역사적 변동성이 높아 손절선 관리가 중요합니다.']"
3,005935,삼성전자우,기타,2026-05-15,BUY,0.6075,0.675,0.05,강한 상승 추세 속 단기 조정 후 재상승 기대,"['growth', 'theme']","['삼성전자우는 강한 상승 추세와 MACD 골든크로스를 보이며 주가 모멘텀이 긍정적이며, 유사 패턴 분석 결과 단기 상승 가능성이 높습니다. 다만, 최근 20일간 24.1%의 높은 상승률을 기록하여 단기 조정 가능성도 존재합니다.', '삼성전자우는 강한 상승 추세와 MACD 골든크로스로 긍정적이나, 대형주 특성상 테마주로서의 급등 가능성은 제한적이며, 유사 사례 중 과열 시 하락 사례도 있어 단기적 접근이 필요합니다. 현재 RSI는 중립이나, 20일간 높은 상승률을 보였으므로 단기 조정 가능성을 염두에 두어야 합니다.']"
4,071970,HD현대마린엔진,기타,2026-05-15,BUY,0.6075,0.675,0.07500000000000001,단기 반등을 노리는 위기 종목,"['crisis', 'theme']","['HD현대마린엔진은 강한 하락 추세와 낮은 RSI를 보이지만, MACD 골든크로스 및 볼린저밴드 하단대 진입으로 단기 기술적 반등 가능성이 높습니다. 유사 과거 패턴에서도 급락 후 긍정적인 반등 사례가 다수 확인됩니다.', 'HD현대마린엔진은 강한 하락 추세와 RSI 약세에도 불구하고 MACD 골든크로스 및 볼린저 하단대 진입으로 단기 기술적 반등 가능성이 높으며, 유사 과거 패턴에서 긍정적인 5일 수익률을 보인 사례가 다수 존재합니다. 다만, 현재 특별한 정책/이슈 모멘텀이 부재하여 기술적 반등에 의존해야 합니다. 손절선은 최근 저점 이탈 시 설정하는 것이 바람직합니다.']"
5,089970,브이엠,기타,2026-05-15,BUY,0.595,0.7,0.05,단기 반등 기대 종목,"['theme', 'crisis']","['MACD 골든크로스 및 볼린저밴드 하단 접근으로 단기 반등 가능성이 높으며, 유사 패턴 분석 결과 긍정적인 수익률을 보였으나, 현재 명확한 정책/이슈 모멘텀이 부재하여 단기적 접근이 필요합니다.', '단기 하락 추세에도 불구하고 MACD 골든크로스 및 볼린저밴드 하단 접근으로 기술적 반등 가능성이 높으며, 유사 과거 패턴들이 긍정적인 회복을 보였습니다.']"
6,079550,LIG디펜스앤에어로스페이스,기타,2026-05-15,BUY,0.595,0.7,0.125,단기 반등 기대 테마주,"['theme', 'crisis']","['LIG디펜스앤에어로스페이스는 현재 단기 하락 추세이나, MACD 골든크로스 및 볼린저밴드 하단 접근으로 기술적 반등 가능성이 높습니다. 유사 과거 패턴 중 높은 수익률을 보인 사례들이 다수 존재하며, 방산 섹터는 지정학적 이슈 발생 시 강력한 모멘텀을 받을 수 있습니다. 현재 단기 과열 징후는 없으며, 테마 사이클은 잠재적 이슈 발생 시 초기 국면으로 진입할 수 있습니다. 손절선은 MA60 이탈 시 고려합니다.', '단기 하락 추세이나 MACD 골든크로스 및 볼린저밴드 하단 접근으로 기술적 반등 가능성이 높으며, 유사 패턴에서 긍정적 회복 사례가 다수 관찰됩니다.']"
7,034220,LG디스플레이,기타,2026-05-15,BUY,0.5940000000000001,0.675,0.07,강한 상승 모멘텀 및 테마성 급등 가능성,"['theme', 'growth']","['LG디스플레이는 강한 상승 추세와 MACD 골든크로스, 폭발적 거래량 급증으로 단기 모멘텀이 강하며, 유사 패턴 사례들이 긍정적인 단기 수익률을 보였으나, 명확한 정책/이슈 부재로 인한 지속성 리스크가 존재합니다.', 'LG디스플레이는 강한 상승 추세와 MACD 골든크로스, 폭발적 거래량 급증으로 주가 모멘텀이 매우 강하며, 유사 패턴 분석 결과 긍정적인 수익률을 보인 사례가 다수 존재하여 단기 상승 여력이 높다고 판단됩니다.']"
8,028260,삼성물산,기타,2026-05-15,BUY,0.57375,0.675,0.11,단기 조정 후 재상승 기대 성장주/테마주,"['growth', 'theme']","['강한 상승 추세와 MACD 골든크로스, 볼린저밴드 하단 접근으로 단기 반등 가능성이 높으며, 유사 사례 중 높은 수익률을 보인 경우가 다수 존재합니다.', '삼성물산은 강한 상승 추세와 MACD 골든크로스로 긍정적이나, 명확한 테마 모멘텀 부재로 단기 변동성이 클 수 있습니다. 유사 패턴 중 상승 사례가 더 많고 볼린저 하단 접근으로 기술적 반등 가능성이 있으나, 테마주로서의 명확한 이슈가 없어 단기 트레이딩 관점에서 접근해야 합니다. 손절선은 MA20 이탈 시 고려합니다.']"
9,247540,에코프로비엠,기타,2026-05-15,BUY,0.57375,0.675,0.125,단기 급락 후 기술적 반등 기대,"['crisis', 'theme']","['에코프로비엠은 강한 하락 추세 속에서 볼린저밴드 하단에 도달했으며, MACD 골든크로스 및 유사 과거 패턴 분석 결과 높은 반등 가능성을 시사합니다. 단기 급락에 따른 기술적 반등을 노려볼 만한 구간입니다.', '에코프로비엠은 강한 하락 추세와 볼린저밴드 하단대 진입으로 단기 기술적 반등 가능성이 높으며, MACD 골든크로스 발생으로 상승 전환 시그널이 포착됨. 유사 패턴 중 높은 수익률을 보인 사례들이 다수 존재하나, 2차전지 섹터의 전반적인 투자심리 회복이 관건.']"
10,077970,STX엔진,기타,2026-05-15,BUY,0.57375,0.675,0.07,단기 하락 후 반등 기대,"['crisis', 'theme']","['STX엔진은 단기 급락 후 볼린저밴드 하단에 위치하며 RSI 중립, MACD 골든크로스/상승세로 기술적 반등 가능성이 높습니다. 유사 사례 중 긍정적 반등 사례가 다수이며, 특히 동일 종목의 유사 패턴에서 높은 반등을 보인 점이 긍정적입니다.', 'STX엔진은 단기 하락 추세이나 MACD 골든크로스 및 볼린저 하단대 진입으로 기술적 반등 가능성이 높으며, 유사 패턴 분석 결과 긍정적인 수익률 사례가 다수 존재하나, 정책/이슈 모멘텀 부재로 인한 상승 동력 약화 가능성을 고려하여 단기적 접근이 필요합니다. 손절선은 MA20 대비 -15% 이탈 시 설정합니다.']"
11,094170,동운아나텍,기타,2026-05-15,BUY,0.5265000000000001,0.675,0.07500000000000001,단기 변동성 활용,"['theme', 'crisis']","['동운아나텍은 단기 하락 추세이나 MACD 골든크로스 및 볼린저 하단대 진입으로 기술적 반등 가능성이 높으며, 유사 패턴 분석 결과 단기 상승 사례가 다수 확인됩니다. 다만, 현재 명확한 테마 모멘텀이 없어 기술적 반등에 초점을 맞춘 단기 접근이 유효합니다.', '단기 하락에도 불구하고 MACD 골든크로스 및 볼린저밴드 하단대 진입은 기술적 반등 가능성을 시사하며, 유사 과거 패턴에서 긍정적인 회복 사례가 다수 존재합니다.']"
12,104830,원익머트리얼즈,기타,2026-05-15,BUY,0.5249999999999999,0.7,0.05,단기 하락 후 반등 기대,['crisis'],"['단기 급락 후 볼린저밴드 하단 접근 및 MACD 골든크로스/상승세로 기술적 반등 가능성이 높으며, 유사 과거 패턴에서 긍정적인 회복 사례가 다수 관찰됩니다.']"
13,009540,HD한국조선해양,기타,2026-05-15,BUY,0.5249999999999999,0.7,0.05,단기 하락 후 반등 기대,['crisis'],"['HD한국조선해양은 단기 급락 후 볼린저밴드 하단에 근접하며 기술적 반등 가능성이 높고, 유사 과거 패턴에서 긍정적인 회복 사례가 다수 관찰됩니다. MACD 골든크로스 유지 및 RSI 중립은 추가 하락보다는 반등에 무게를 싣습니다.']"
